knob,label,shipped,variant,agreement,kappa,sep_is,sep_oos,sep_oos_vs_shipped,median_run,flip_rate,median_dis_run,share_fully_relabelled,run_failure,rationale,rationale_tier,sensitivity
score_q,score cut quantile,0.5,0.60,0.7988357203831926,0.727250051342096,0.08512536847491552,0.10025060956418158,0.0011172181767539757,20.0,0.032326592938347984,7.0,0.1827213056590385,False,"DECIDED, not assumed -- scoreq.py. Candidates 0.40/0.45/0.50/0.55/0.60 judged on IS against a criterion declared before looking (separation on trend AND chop, median run ~20 bars, no state below 5% share, default wins ties). 0.40 won IS by 1.1 paired block-bootstrap SE, then LOST the holdout by 1.9 SE on identical rows -- worse on both axes (trend 0.1324 vs 0.1354, chop 0.1130 vs 0.1368). 0.50 stays: tested, median survived. See scoreq_decision.csv and scoreq_regression.csv.",FULL,0.20116427961680738
weights,measurement weights,equal,tilt up,0.8858883778273033,0.8437156917585733,0.07705052268369139,0.0941153358740405,-0.005018055513387104,20.0,0.030866391655799245,6.0,0.11992194429661167,False,"YES -- deliberately not fitted. twoscores.py: fitting weights would be a search against a target, and the target here is a description.",FULL,0.11411162217269666
weights,measurement weights,equal,tilt down,0.8785063352682039,0.8356850873510547,0.09773934485126101,0.11160357603373715,0.012470184646309543,20.0,0.03628397359533262,6.0,0.07770090473656201,False,"YES -- deliberately not fitted. twoscores.py: fitting weights would be a search against a target, and the target here is a description.",FULL,0.12149366473179612
bump,activity bump BUMP,0.75,0.56,0.9667421404523685,0.9546909044894833,0.0841007584395822,0.09827037360711656,-0.0008630177803110456,20.0,0.0329062122245499,4.0,0.03441546922121696,False,"YES -- chosen on IS against a separate activity cut; the margin was 0.002, a tie in practice.",FULL,0.033257859547631496
bump,activity bump BUMP,0.75,0.94,0.9699166557991203,0.9590713491201148,0.0870474593605194,0.10323794649637402,0.004104555108946417,20.0,0.03409241375014581,4.0,0.020223523150612027,False,"YES -- chosen on IS against a separate activity cut; the margin was 0.002, a tie in practice.",FULL,0.030083344200879658
drop_tests,DROP_TESTS,True,False (keep tests),0.8737574022371205,0.8277831602788515,0.07373131512323561,0.07754699193411878,-0.021586399453308827,20.0,0.03143861652052388,8.0,0.12240553485896753,False,YES -- IS chop |sep| 0.140 -> 0.151 with `tests` dropped.,FULL,0.1262425977628795
kfail,failed-swing window KFAIL,20,15,0.9364730290456431,0.9135020531531237,0.09554244499539996,0.1022174676406336,0.003084076253205989,19.0,0.034289815820095625,5.0,0.04896221394358701,False,Nothing in the code or the handoff.,NONE,0.06352697095435689
kfail,failed-swing window KFAIL,20,25,0.9430768045239803,0.9224362984286963,0.08069035357532593,0.093968221795659,-0.005165169591768604,20.0,0.032788241556616596,5.0,0.052155401809473124,False,Nothing in the code or the handoff.,NONE,0.05692319547601965
volwin,volatility window VOLWIN,60,45,0.9709735163714821,0.9604523274666847,0.08729009076796976,0.10039821169830575,0.0012648203108781425,20.0,0.033360971516651024,3.0,0.024481106971793506,False,No rationale for the VALUE. The only thing on file is a known PROBLEM: at L == VOLWIN the scale axis collapses (HANDOFF 677-700).,NONE,0.029026483628517896
volwin,volatility window VOLWIN,60,75,0.9758167765185641,0.9670833986789757,0.08816341510689676,0.10325821816514048,0.004124826777712878,20.0,0.033224995013679454,3.0,0.021820117083555083,False,No rationale for the VALUE. The only thing on file is a known PROBLEM: at L == VOLWIN the scale axis collapses (HANDOFF 677-700).,NONE,0.024183223481435867
actL,activity scale lookback,28,21,0.9454488334597876,0.9257237666868603,0.08088794670131041,0.09867107517969714,-0.0004623162077304621,20.0,0.034128435002505314,5.0,0.043817633492992725,False,"Inherited from the 7/28/128 ribbon, not separately motivated.",PARTIAL,0.054551166540212415
actL,activity scale lookback,28,35,0.9454946383795991,0.9257562676057389,0.0872287418939029,0.09868925131518796,-0.00044414007223964047,20.0,0.033493658880551565,5.0,0.048075217314174204,False,"Inherited from the 7/28/128 ribbon, not separately motivated.",PARTIAL,0.05450536162040087
