pair,source_url,provenance,raw_spread_pips,markup,marked_up_pips,pip_size,median_price,cost_frac_roundtrip,cost_bp_roundtrip,fetch_date,crisis_multiplier,swap
EURJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.2,1.5,1.8,0.01,132.988,0.00013535,1.354,2026-09-06,2.0,EXCLUDED
EURNZD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.73629,0.0002419,2.419,2026-09-06,2.0,EXCLUDED
EURUSD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.1,1.5,1.65,0.0001,1.1912,0.00013852,1.385,2026-09-06,2.0,EXCLUDED
GBPAUD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.86022,0.00022578,2.258,2026-09-06,2.0,EXCLUDED
GBPCAD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.73759,0.00024171,2.417,2026-09-06,2.0,EXCLUDED
GBPCHF,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.4094,0.000298,2.98,2026-09-06,2.0,EXCLUDED
GBPJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.01,157.892,0.000266,2.66,2026-09-06,2.0,EXCLUDED
GBPNZD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,2.0508,0.0002048,2.048,2026-09-06,2.0,EXCLUDED
GBPUSD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.3,1.5,1.95,0.0001,1.45992,0.00013357,1.336,2026-09-06,2.0,EXCLUDED
NZDCAD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,0.83112,0.00050534,5.053,2026-09-06,2.0,EXCLUDED
NZDCHF,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,0.69062,0.00060815,6.081,2026-09-06,2.0,EXCLUDED
NZDJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.01,78.0835,0.00053789,5.379,2026-09-06,2.0,EXCLUDED
NZDUSD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,derived: widest published major (conservative),1.4,1.5,2.1,0.0001,0.69298,0.00030304,3.03,2026-09-06,2.0,EXCLUDED
USDCAD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.2,1.5,1.8,0.0001,1.25145,0.00014383,1.438,2026-09-06,2.0,EXCLUDED
USDCHF,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,derived: widest published major (conservative),1.4,1.5,2.1,0.0001,0.96501,0.00021761,2.176,2026-09-06,2.0,EXCLUDED
USDJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.4,1.5,2.1,0.01,110.091,0.00019075,1.908,2026-09-06,2.0,EXCLUDED
