name,slot,kind,n_outputs,defaults,defaults_confirmed,pine_line,source,available,inverted_vs_tradingview,lookahead_if_nondefault
super_smoother_2pole_baseline,baseline,BASELINE,1,cutoff_period=15,True,strat 1506,library,True,False,False
frama_baseline,baseline,BASELINE,1,length=10,True,strat 1509,library,True,False,False
chaikin_oscillator_volume_signals,volume,FILTER,2,fast_len=3; slow_len=10,True,strat 595-596 / patch A1,library,False,False,False
chaikin_volatility_volume_signals,volume,FILTER,2,cvi_len=10; roc_len=12,True,strat 599-600 / patch A2,library,True,False,False
elders_force_index_volume_signals,volume,FILTER,2,len=10,True,strat 606 / patch A3,library,False,False,False
normalized_volume_volume_signals,volume,FILTER,2,vol_period=10,True,strat 609,library,False,False,False
volume_zone_oscillator_volume_signals,volume,FILTER,2,len=20; smooth=True; smooth_len=20; neutral_zone=10,True,strat 631-634,library,False,False,False
waddah_attar_explosion_volume_signals,volume,FILTER,2,sensitivity=150; fastEma=20; slowEma=40; bbLen=20; bbStd=2.0,True,strat 636-640,library,True,False,False
damiani_volatmeter_volume_signals,volume,FILTER,2,viscosity=7; sedimentation=50; threshold=1.4; lag=1.4; use_lag=True,True,strat 601-605,library,True,False,False
ttm_squeeze_volume_signals,volume,FILTER,2,bb_length=20; bb_mult=2.0; kc_length=20; kc_mult=1.5,True,strat 617-620,library,True,False,False
williams_vix_fix_volume_signals,volume,FILTER,2,lookback=22; bb_length=20; bb_mult=2.0,True,strat 641-643,library,True,False,False
volatility_ratio_volume_signals,volume,FILTER,2,length=14,True,strat 630,library,True,False,False
mass_index_volume_signals,volume,FILTER,2,length=25; ema_length=9,True,strat 607-608,library,True,False,False
chaikin_money_flow_signals,confirmation,BINARY,4,lookback=50,True,strat 181,library,False,False,False
chaikin_money_flow_exit,exit,BINARY,2,lookback=50,True,strat 181,library,False,False,False
coppock_curve_signals,confirmation,BINARY,4,smooth_len=10; long_roc=14; short_roc=11,True,strat 185-187,library,True,False,False
coppock_curve_exit,exit,BINARY,2,smooth_len=10; long_roc=14; short_roc=11,True,strat 185-187,library,True,False,False
dpo_signals,confirmation,BINARY,4,len=50; centered=False,True,strat 190-191,library,True,False,True
dpo_exit,exit,BINARY,2,len=50; centered=False,True,strat 190-191,library,True,False,True
ease_of_movement_signals,confirmation,BINARY,4,len=14; divisor=10000,True,strat 195-196,library,False,False,False
ease_of_movement_exit,exit,BINARY,2,len=14; divisor=10000,True,strat 195-196,library,False,False,False
kalman_filter_signals,confirmation,BINARY,4,sharpness=1.0; k=1.0,True,strat 258-259,library,True,False,False
kalman_filter_exit,exit,BINARY,2,sharpness=1.0; k=1.0,True,strat 258-259,library,True,False,False
laguerre_filter_signals,confirmation,BINARY,4,alpha=0.2,True,strat 266,library,True,False,False
laguerre_filter_exit,exit,BINARY,2,alpha=0.2,True,strat 266,library,True,False,False
price_momentum_oscillator_signals,confirmation,BINARY,4,s1=35; s2=20; sig=10,True,strat 274-276,library,True,False,False
price_momentum_oscillator_exit,exit,BINARY,2,s1=35; s2=20; sig=10,True,strat 274-276,library,True,False,False
relative_vigor_index_signals,confirmation,BINARY,4,len=10,True,strat 280,library,True,False,False
relative_vigor_index_exit,exit,BINARY,2,len=10,True,strat 280,library,True,False,False
supertrend_signals,confirmation,BINARY,4,factor=3.0; atr_period=10,True,strat 283-284,library,True,True,False
supertrend_exit,exit,BINARY,2,factor=3.0; atr_period=10,True,strat 283-284,library,True,True,False
fisher_transform_signals,confirmation,BINARY,4,length=10,True,strat 200,library,True,False,False
fisher_transform_exit,exit,BINARY,2,length=10,True,strat 200,library,True,False,False
aroon_signals,confirmation,BINARY,4,length=25,True,strat 177,library,True,False,False
aroon_exit,exit,BINARY,2,length=25,True,strat 177,library,True,False,False
center_of_gravity_signals,confirmation,BINARY,4,length=10; signal_length=3,True,strat 179-180,library,True,False,False
center_of_gravity_exit,exit,BINARY,2,length=10; signal_length=3,True,strat 179-180,library,True,False,False
